"","CI","FB","PG","SK","WB"
"Maximum",15.48,21.94,22.35,22.78,13.1
"Minimum",2.95,0.37,4.11,0.76,2.91
"Mean",9.15109176470588,9.64044029587883,12.0106202723147,9.99754073319756,8.72709187927297
"Variance",4.73947722016279,17.8744825610816,12.5857491948882,20.9911414931201,2.30084981360482
"StandardDeviation",2.17703404203122,4.22782243726976,3.54763994718858,4.58160905066333,1.51685523818353
"Percent±2SD",3.80608974358974,4.56730769230769,4.58066239316239,1.85630341880342,5.91613247863248
"FirstQuartile",7.53,6.6925,9.44,6.35,8
"Median",9.22,8.87,10.95,10.215,8.69
"ThirdQuartile",10.7,11.94,14.17,12.9825,9.42
"IQR",3.17,5.2475,4.73,6.6325,1.42
"Percent±1.5IQR",0.0133547008547009,1.89636752136752,1.09508547008547,0,7.13141025641026
