"","CI","FB","PG","SK","WB"
"Maximum",8.12,8.08,8.15,8.05,7.98
"Minimum",7.29,7.02,6.71,6.83,7.11
"Range",0.829999999999999,1.06,1.44,1.22,0.87
"Mean",7.63114877024595,7.53603986362444,7.32849569078088,7.36893970893971,7.56055118110236
"Variance",0.0373303630992973,0.0521145335626257,0.0621436612275073,0.0571329539933647,0.0341315818195993
"StandardDeviation",0.193210670252182,0.228286078337304,0.249286303730284,0.239025007046051,0.18474734590678
"Percent±2SD",4.00326797385621,2.51225490196078,3.45179738562092,4.88153594771242,3.39052287581699
"FirstQuartile",7.51,7.38,7.13,7.2,7.41
"Median",7.59,7.54,7.33,7.38,7.6
"ThirdQuartile",7.73,7.7,7.49,7.55,7.71
"IQR",0.220000000000001,0.32,0.36,0.35,0.3
"Percent±1.5IQR",2.02205882352941,0,0.367647058823529,0,0
