Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
zr3644_10_R1	52847841	22764641	6663716444	2077880	6634572674	0.43735009202321334
zr3644_10_R2	52847841	22781010	6661118919	2209762	6632042202	0.4365140054332664
zr3644_11_R1	57092207	24564038	7194811854	2160013	7163488585	0.43535911203273003
zr3644_11_R2	57092207	24597705	7192359667	2438054	7160901486	0.4373833130778553
zr3644_12_R1	47871006	20609022	6044965124	1661047	6019036550	0.42892842999303965
zr3644_12_R2	47871006	20525648	6042854501	1702355	6017085430	0.4264387136201213
zr3644_13_R1	54135312	23721761	6877739495	2137120	6847681076	0.4370392193809022
zr3644_13_R2	54135312	23601218	6875391122	1991084	6845788397	0.43056059611324027
zr3644_14_R1	37045803	16116353	4679181409	2133036	4657981637	0.45306582812164703
zr3644_14_R2	37045803	15901700	4677677552	1158321	4657794991	0.42505197887141577
zr3644_15_R1	59408352	25824093	7517784280	2588934	7484679145	0.44035760760083953
zr3644_15_R2	59408352	25648945	7515911423	2005465	7483739706	0.42804811272188403
zr3644_16_R1	51910846	21719554	6471217372	2317730	6442864567	0.4381371134692275
zr3644_16_R2	51910846	21601645	6469595542	2140341	6441680830	0.4314753807835488
zr3644_17_R1	58612409	25043792	7368913020	1953416	7337218337	0.43011340904658957
zr3644_17_R2	58612409	24942134	7367240322	2008699	7335778634	0.4270484825376109
zr3644_18_R1	51977624	22254918	6538749697	1953148	6510376573	0.4339227729273332
zr3644_18_R2	51977624	22212667	6536857225	1957739	6508713820	0.430534185332463
zr3644_19_R1	49611452	21362959	6252863959	1776907	6225809904	0.43266661768740394
zr3644_19_R2	49611452	21264708	6250440107	1909058	6223480605	0.43132165957093943
zr3644_1_R1	52225074	22053906	6553667817	1729636	6525541768	0.42916500783030154
zr3644_1_R2	52225074	22305466	6552607764	2651242	6523511397	0.4440425560012202
zr3644_20_R1	54311933	24163085	6898362841	4325943	6865728474	0.4730740865939905
zr3644_20_R2	54311933	23519270	6895076635	1433956	6866031990	0.42123745010413505
zr3644_21_R1	51337098	22468074	6504759787	2335656	6475942942	0.4430116705860764
zr3644_21_R2	51337098	22250143	6502868062	1736389	6475103537	0.42695814731724446
zr3644_22_R1	47948800	20718810	6055877417	1943004	6029422572	0.4368457810215282
zr3644_22_R2	47948800	20603226	6053610438	2087826	6027275695	0.43502539963077813
zr3644_23_R1	40743756	17444950	5122390542	1745274	5099945615	0.43817289634531736
zr3644_23_R2	40743756	17351768	5120592948	1710015	5098406294	0.43328290737629627
zr3644_24_R1	53154280	23096436	6723235587	2278769	6693671857	0.4397247369579644
zr3644_24_R2	53154280	22971054	6721606596	2105426	6692511074	0.43286558926722407
zr3644_2_R1	55879313	24629147	7129414230	2033369	7098489333	0.433764906938224
zr3644_2_R2	55879313	24638835	7125459964	2371237	7094372704	0.43628425613311045
zr3644_3_R1	39620531	17252677	5016985237	1682604	4994929003	0.43963123186682795
zr3644_3_R2	39620531	17150562	5015593115	1602642	4993811589	0.43427617632815096
zr3644_4_R1	50228886	21861473	6355763675	2416042	6327528676	0.44424243008059927
zr3644_4_R2	50228886	21636567	6352591952	1729527	6325433799	0.4275129459786842
zr3644_5_R1	44881631	19722224	5692356532	2683556	5666410901	0.4557977149559191
zr3644_5_R2	44881631	19396540	5690565908	1400281	5666348897	0.4255641950470139
zr3644_6_R1	54279403	23503336	6866266970	2331881	6836138023	0.43879661439962914
zr3644_6_R2	54279403	23389569	6864471929	1982834	6834977157	0.4296728474537841
zr3644_7_R1	82933633	36177192	10519950530	2898401	10474395775	0.43303202681505387
zr3644_7_R2	82933633	36117516	10515361816	3279955	10469702809	0.43421241987628056
zr3644_8_R1	43149301	18575513	5444670140	1595123	5421008525	0.43458307650571465
zr3644_8_R2	43149301	18631147	5443153167	1812726	5419360965	0.43710329785029917
zr3644_9_R1	49101606	20209348	6079740279	1919505	6053388645	0.43343354799251943
zr3644_9_R2	49101606	20297822	6078278717	2099959	6051789039	0.43580887342188657
