Sample,UniqueReads2,DuplicateReads2,TotalReads2,percUnique2,percDuplicate2,UniqueReads3,DuplicateReads3,TotalReads3,percUnique3,percDuplicate3,diffTotal,percDiff,diffpercUnique,diffpercDuplicate
zr3644_10_R1_val_1_val_1,43285586,9276895,52562481,0.823507285,0.176492715,43066573,8836139,51902712,0.829755736,0.170244264,659769,0.01255209,-0.006248451,0.006248451
zr3644_10_R2_val_2_val_2,43193751,9368730,52562481,0.821760126,0.178239874,43212971,8689741,51902712,0.832576359,0.167423641,659769,0.01255209,-0.010816233,0.010816233
zr3644_11_R1_val_1_val_1,46360181,10414078,56774259,0.816570429,0.183429571,46354679,9708669,56063348,0.826826807,0.173173193,710911,0.012521713,-0.010256378,0.010256378
zr3644_11_R2_val_2_val_2,46505178,10269081,56774259,0.81912435,0.18087565,46526315,9537033,56063348,0.829888272,0.170111728,710911,0.012521713,-0.010763922,0.010763922
zr3644_12_R1_val_1_val_1,39442336,8207487,47649823,0.827754093,0.172245907,39435846,7413725,46849571,0.841754688,0.158245312,800252,0.016794438,-0.014000595,0.014000595
zr3644_12_R2_val_2_val_2,39489173,8160650,47649823,0.828737034,0.171262966,39521639,7327932,46849571,0.843585932,0.156414068,800252,0.016794438,-0.014848898,0.014848898
zr3644_13_R1_val_1_val_1,44473891,9409364,53883255,0.825374989,0.174625011,44060807,9242629,53303436,0.826603505,0.173396495,579819,0.010760653,-0.001228516,0.001228516
zr3644_13_R2_val_2_val_2,44164682,9718573,53883255,0.81963649,0.18036351,44185426,9118010,53303436,0.828941421,0.171058579,579819,0.010760653,-0.009304931,0.009304931
zr3644_14_R1_val_1_val_1,31110795,5741789,36852584,0.844195756,0.155804244,31090224,5250637,36340861,0.85551699,0.14448301,511723,0.013885675,-0.011321234,0.011321234
zr3644_14_R2_val_2_val_2,30766502,6086082,36852584,0.834853317,0.165146683,30786922,5553939,36340861,0.847170957,0.152829043,511723,0.013885675,-0.01231764,0.01231764
zr3644_15_R1_val_1_val_1,48263715,10841947,59105662,0.816566694,0.183433306,48225941,10209536,58435477,0.825285314,0.174714686,670185,0.011338761,-0.00871862,0.00871862
zr3644_15_R2_val_2_val_2,48265605,10840057,59105662,0.81659867,0.18340133,48287684,10147793,58435477,0.826341916,0.173658084,670185,0.011338761,-0.009743246,0.009743246
zr3644_16_R1_val_1_val_1,41855143,9729212,51584355,0.811392194,0.188607806,41886447,8500155,50386602,0.831301285,0.168698715,1197753,0.023219307,-0.019909091,0.019909091
zr3644_16_R2_val_2_val_2,41837384,9746971,51584355,0.811047923,0.188952077,41888972,8497630,50386602,0.831351398,0.168648602,1197753,0.023219307,-0.020303475,0.020303475
zr3644_17_R1_val_1_val_1,46894764,11379882,58274646,0.804719843,0.195280157,46321479,11108264,57429743,0.806576463,0.193423537,844903,0.014498638,-0.00185662,0.00185662
zr3644_17_R2_val_2_val_2,46368741,11905905,58274646,0.795693225,0.204306775,46403266,11026477,57429743,0.808000586,0.191999414,844903,0.014498638,-0.012307361,0.012307361
zr3644_18_R1_val_1_val_1,42420072,9264305,51684377,0.820752314,0.179247686,42432563,8510860,50943423,0.832935058,0.167064942,740954,0.014336131,-0.012182744,0.012182744
zr3644_18_R2_val_2_val_2,42557845,9126532,51684377,0.823417974,0.176582026,42586223,8357200,50943423,0.835951345,0.164048655,740954,0.014336131,-0.012533371,0.012533371
