Sample	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
zr3644_10_L-1-0.6_PE_report	14711.0	58.843999999999994
zr3644_10_L0-0.4_PE_report	12840.0	51.35999999999999
zr3644_10_L0-0.6_PE_report	14653.0	58.611999999999995
zr3644_10_L0-0.8_PE_report	15671.0	62.684
zr3644_10_L0-1.0_PE_report	16426.0	65.704
zr3644_10_PE_report	32600703.0	62.8111744912289
zr3644_11_L-1-0.6_PE_report	14700.0	58.8
zr3644_11_L0-0.4_PE_report	12813.0	51.251999999999995
zr3644_11_L0-0.6_PE_report	14617.0	58.467999999999996
zr3644_11_L0-0.8_PE_report	15725.0	62.9
zr3644_11_L0-1.0_PE_report	16520.0	66.08000000000001
zr3644_11_PE_report	35206407.0	62.79754644692286
zr3644_12_L-1-0.6_PE_report	14882.0	59.528000000000006
zr3644_12_L0-0.4_PE_report	13021.0	52.083999999999996
zr3644_12_L0-0.6_PE_report	14822.0	59.288
zr3644_12_L0-0.8_PE_report	15949.0	63.796
zr3644_12_L0-1.0_PE_report	16710.0	66.84
zr3644_12_PE_report	29891695.0	63.80356182984045
zr3644_13_L-1-0.6_PE_report	14891.0	59.56399999999999
zr3644_13_L0-0.4_PE_report	12995.0	51.980000000000004
zr3644_13_L0-0.6_PE_report	14821.0	59.284000000000006
zr3644_13_L0-0.8_PE_report	15912.0	63.648
zr3644_13_L0-1.0_PE_report	16677.0	66.708
zr3644_13_PE_report	33654394.0	63.13738198790787
zr3644_14_L-1-0.6_PE_report	15044.0	60.175999999999995
zr3644_14_L0-0.4_PE_report	13148.0	52.592000000000006
zr3644_14_L0-0.6_PE_report	14986.0	59.943999999999996
zr3644_14_L0-0.8_PE_report	16044.0	64.176
zr3644_14_L0-1.0_PE_report	16815.0	67.25999999999999
zr3644_14_PE_report	23105310.0	63.579423723615136
zr3644_15_L-1-0.6_PE_report	14980.0	59.919999999999995
zr3644_15_L0-0.4_PE_report	13181.0	52.724000000000004
zr3644_15_L0-0.6_PE_report	14913.0	59.65200000000001
zr3644_15_L0-0.8_PE_report	15977.0	63.908
zr3644_15_L0-1.0_PE_report	16763.0	67.052
zr3644_15_PE_report	37014991.0	63.34335390126105
zr3644_16_L-1-0.6_PE_report	14980.0	59.919999999999995
zr3644_16_L0-0.4_PE_report	13200.0	52.800000000000004
zr3644_16_L0-0.6_PE_report	14906.0	59.624
zr3644_16_L0-0.8_PE_report	15975.0	63.9
zr3644_16_L0-1.0_PE_report	16757.0	67.02799999999999
zr3644_16_PE_report	32039253.0	63.58684993284525
zr3644_17_L-1-0.6_PE_report	14900.0	59.599999999999994
zr3644_17_L0-0.4_PE_report	13137.0	52.547999999999995
zr3644_17_L0-0.6_PE_report	14829.0	59.316
zr3644_17_L0-0.8_PE_report	15825.0	63.3
zr3644_17_L0-1.0_PE_report	16610.0	66.44
zr3644_17_PE_report	36128344.0	62.90876837112087
zr3644_18_L-1-0.6_PE_report	15034.0	60.136
zr3644_18_L0-0.4_PE_report	13176.0	52.70399999999999
zr3644_18_L0-0.6_PE_report	14974.0	59.89600000000001
zr3644_18_L0-0.8_PE_report	15985.0	63.94
zr3644_18_L0-1.0_PE_report	16784.0	67.136
zr3644_18_PE_report	32453802.0	63.705577852512974
zr3644_19_L-1-0.6_PE_report	14841.0	59.364
zr3644_19_L0-0.4_PE_report	12960.0	51.839999999999996
zr3644_19_L0-0.6_PE_report	14783.0	59.132
zr3644_19_L0-0.8_PE_report	15825.0	63.3
zr3644_19_L0-1.0_PE_report	16645.0	66.58
zr3644_19_PE_report	30819746.0	63.360923384725666
zr3644_1_L-1-0.6_PE_report	14878.0	59.512
zr3644_1_L0-0.4_PE_report	13006.0	52.024
zr3644_1_L0-0.6_PE_report	14820.0	59.28
zr3644_1_L0-0.8_PE_report	15844.0	63.376
zr3644_1_L0-1.0_PE_report	16627.0	66.508
zr3644_1_PE_report	32369341.0	63.47744732946198
zr3644_20_L-1-0.6_PE_report	14910.0	59.64
zr3644_20_L0-0.4_PE_report	12986.0	51.944
zr3644_20_L0-0.6_PE_report	14857.0	59.428000000000004
zr3644_20_L0-0.8_PE_report	15904.0	63.61599999999999
zr3644_20_L0-1.0_PE_report	16689.0	66.756
zr3644_20_PE_report	33612893.0	62.957198539780926
zr3644_21_L-1-0.6_PE_report	14837.0	59.348
zr3644_21_L0-0.4_PE_report	12909.0	51.636
zr3644_21_L0-0.6_PE_report	14766.0	59.06400000000001
zr3644_21_L0-0.8_PE_report	15883.0	63.532
zr3644_21_L0-1.0_PE_report	16655.0	66.62
zr3644_21_PE_report	31890266.0	63.20248084613166
zr3644_22_L-1-0.6_PE_report	14945.0	59.78
zr3644_22_L0-0.4_PE_report	13074.0	52.296
zr3644_22_L0-0.6_PE_report	14889.0	59.556
zr3644_22_L0-0.8_PE_report	15900.0	63.6
zr3644_22_L0-1.0_PE_report	16703.0	66.81200000000001
zr3644_22_PE_report	29926191.0	63.64614272085333
zr3644_23_L-1-0.6_PE_report	14920.0	59.68
zr3644_23_L0-0.4_PE_report	13071.0	52.284
zr3644_23_L0-0.6_PE_report	14853.0	59.412
zr3644_23_L0-0.8_PE_report	15905.0	63.62
zr3644_23_L0-1.0_PE_report	16664.0	66.656
zr3644_23_PE_report	25336717.0	63.49655105647617
zr3644_24_L-1-0.6_PE_report	15141.0	60.56399999999999
zr3644_24_L0-0.4_PE_report	13319.0	53.276
zr3644_24_L0-0.6_PE_report	15071.0	60.284000000000006
zr3644_24_L0-0.8_PE_report	16115.0	64.46
zr3644_24_L0-1.0_PE_report	16890.0	67.56
zr3644_24_PE_report	33295866.0	63.731409005562256
zr3644_2_L-1-0.6_PE_report	14882.0	59.528000000000006
zr3644_2_L0-0.4_PE_report	12990.0	51.959999999999994
zr3644_2_L0-0.6_PE_report	14822.0	59.288
zr3644_2_L0-0.8_PE_report	15908.0	63.632
zr3644_2_L0-1.0_PE_report	16599.0	66.396
zr3644_2_PE_report	34518538.0	62.731421417189004
zr3644_3_L-1-0.6_PE_report	14629.0	58.516
zr3644_3_L0-0.4_PE_report	12775.0	51.1
zr3644_3_L0-0.6_PE_report	14568.0	58.272
zr3644_3_L0-0.8_PE_report	15660.0	62.63999999999999
zr3644_3_L0-1.0_PE_report	16465.0	65.86
zr3644_3_PE_report	24403736.0	62.71260010861496
zr3644_4_L-1-0.6_PE_report	14831.0	59.324
