GOID,Freq
GO:0000070,4
GO:0000122,7
GO:0000165,3
GO:0000186,46
GO:0000187,2
GO:0000209,3
GO:0000245,2
GO:0000289,2
GO:0000387,1
GO:0000398,8
GO:0000447,1
GO:0000460,1
GO:0000462,1
GO:0000470,1
GO:0000472,1
GO:0000480,1
GO:0000578,11
GO:0000712,4
GO:0000724,2
GO:0000725,2
GO:0000910,2
GO:0000956,1
GO:0001541,2
GO:0001575,3
GO:0001656,2
GO:0001658,2
GO:0001666,2
GO:0001701,2
GO:0001702,2
GO:0001757,11
GO:0001822,5
GO:0001843,11
GO:0001889,11
GO:0001890,3
GO:0002011,15
GO:0002040,1
GO:0005977,1
GO:0006006,3
GO:0006110,1
GO:0006260,1
GO:0006270,1
GO:0006283,14
GO:0006298,4
GO:0006301,2
GO:0006303,4
GO:0006351,56
GO:0006355,33
GO:0006364,1
GO:0006383,3
GO:0006461,2
GO:0006468,3
GO:0006469,1
GO:0006476,3
GO:0006515,3
GO:0006564,1
GO:0006633,1
GO:0006672,3
GO:0006678,3
GO:0006681,3
GO:0006684,3
GO:0006796,1
GO:0006879,2
GO:0006886,4
GO:0006890,3
GO:0006898,14
GO:0006909,2
GO:0006914,10
GO:0006915,2
GO:0006919,1
GO:0006955,1
GO:0006974,1
GO:0007005,2
GO:0007009,1
GO:0007015,36
GO:0007016,5
GO:0007023,1
GO:0007026,40
GO:0007029,2
GO:0007034,3
GO:0007042,3
GO:0007043,2
GO:0007049,19
GO:0007050,2
GO:0007060,2
GO:0007062,4
GO:0007093,2
GO:0007094,4
GO:0007098,8
GO:0007129,4
GO:0007155,14
GO:0007160,2
GO:0007163,2
GO:0007165,19
GO:0007166,24
GO:0007179,5
GO:0007183,4
GO:0007186,16
GO:0007229,8
GO:0007249,9
GO:0007254,6
GO:0007257,6
GO:0007264,1
GO:0007274,1
GO:0007275,2
GO:0007283,14
GO:0007292,2
GO:0007338,2
GO:0007346,3
GO:0007399,65
GO:0007409,10
GO:0007411,6
GO:0007420,2
GO:0007435,1
GO:0007492,2
GO:0007494,1
GO:0007498,2
GO:0007552,5
GO:0007596,34
GO:0007601,3
GO:0007605,3
GO:0007613,2
GO:0008283,14
GO:0008285,3
GO:0008361,1
GO:0008380,1
GO:0008630,6
GO:0008631,3
GO:0008637,2
GO:0009636,4
GO:0009967,3
GO:0010033,3
GO:0010225,3
GO:0010468,3
GO:0010469,3
GO:0010506,3
GO:0010614,2
GO:0010634,3
GO:0010666,3
GO:0010718,4
GO:0010727,3
GO:0010800,1
GO:0010803,9
GO:0010862,4
GO:0010870,3
GO:0010941,1
GO:0014033,2
GO:0015012,1
GO:0015031,63
GO:0015809,3
GO:0016032,2
GO:0016199,2
GO:0016241,6
GO:0016319,5
GO:0016321,2
GO:0016337,2
GO:0016446,2
GO:0016477,34
GO:0016575,6
GO:0016579,11
GO:0017015,2
GO:0019100,3
GO:0019217,1
GO:0030030,2
GO:0030032,34
GO:0030036,4
GO:0030041,11
GO:0030154,9
GO:0030168,1
GO:0030182,2
GO:0030198,2
GO:0030206,1
GO:0030216,1
GO:0030217,1
GO:0030218,1
GO:0030261,1
GO:0030308,2
GO:0030334,8
GO:0030335,34
GO:0030433,2
GO:0030509,2
GO:0030511,4
GO:0030513,2
GO:0030593,1
GO:0030838,68
GO:0030903,11
GO:0031032,6
GO:0031145,2
GO:0031175,32
GO:0031297,2
GO:0031338,2
GO:0031398,9
GO:0031529,34
GO:0031573,3
GO:0031647,3
GO:0032147,3
GO:0032212,6
GO:0032418,3
GO:0032481,3
GO:0032508,1
GO:0032525,2
GO:0032728,3
GO:0032909,2
GO:0032981,1
GO:0033209,9
GO:0033299,1
GO:0033504,11
GO:0033627,1
GO:0033686,4
GO:0033962,1
GO:0034121,20
GO:0034198,3
GO:0034446,6
GO:0034453,1
GO:0034975,2
GO:0034976,3
GO:0034983,3
GO:0035019,2
GO:0035020,4
GO:0035023,1
GO:0035234,1
GO:0040029,3
GO:0040034,5
GO:0042060,3
GO:0042062,3
GO:0042110,1
GO:0042118,2
GO:0042177,2
GO:0042472,2
GO:0042593,3
GO:0042732,1
GO:0042733,2
GO:0042773,1
GO:0042787,2
GO:0042981,12
GO:0042987,3
GO:0043007,2
GO:0043060,2
GO:0043065,5
GO:0043066,14
GO:0043087,1
GO:0043123,9
GO:0043161,2
GO:0043162,3
GO:0043241,3
GO:0043242,3
GO:0043280,3
GO:0043507,18
GO:0043523,16
GO:0043525,1
GO:0043547,5
GO:0043928,1
GO:0045087,6
GO:0045088,9
GO:0045089,3
GO:0045141,4
GO:0045184,2
GO:0045190,4
GO:0045333,1
GO:0045454,2
GO:0045598,3
GO:0045599,1
GO:0045663,3
GO:0045785,7
GO:0045860,1
GO:0045861,3
GO:0045892,5
GO:0045893,5
GO:0045930,2
GO:0045944,7
GO:0045950,2
GO:0045954,2
GO:0046034,1
GO:0046330,6
GO:0046415,34
GO:0046785,16
GO:0046881,4
GO:0047496,3
GO:0048010,1
GO:0048263,3
GO:0048298,4
GO:0048304,4
GO:0048333,2
GO:0048477,4
GO:0048512,15
GO:0048565,11
GO:0048589,2
GO:0048663,2
GO:0048668,6
GO:0048669,22
GO:0048733,2
GO:0048745,2
GO:0048790,2
GO:0048859,2
GO:0050650,1
GO:0050727,9
GO:0050807,2
GO:0050896,3
GO:0051056,14
GO:0051098,2
GO:0051257,4
GO:0051260,2
GO:0051291,9
GO:0051301,21
GO:0051354,3
GO:0051402,1
GO:0051403,6
GO:0051436,2
GO:0051437,2
GO:0051482,15
GO:0051496,34
GO:0051571,4
GO:0051607,3
GO:0051638,68
GO:0051639,45
GO:0051646,3
GO:0051693,2
GO:0051764,11
GO:0051788,3
GO:0051797,2
GO:0051881,1
