,Sample,X,PRVial,Round,Site.x,Habitat,Spp,Bag,Rep.x,FAvial,FinalHeight,topValve,bothValves,TissueMass,shellThick,peakLoad,Strength,delC,C.perc,delN,N.perc,CN.ratio
,,,O01,1,CI,E,P,1,1,A001,27.63,0.879,2.232,0.0628,0.8,87.159,0.10894875,-19.65,41.38,8.03,7.08,5.845
,,,O04,1,CI,E,P,1,4,A004,30.76,0.667,1.985,0.09,0.7,38.484,0.054977143,-21.47,36.7,9.13,8.91,4.118
23,A099,448,O06,1,CI,E,P,4,1,A006,31.47,0.559,1.506,0.0589,0.5,40.579,31.734,,,,,
10,A034,459,O08,1,CI,E,P,4,3,A008,32.43,0.731,2.005,0.0867,0.7,63.414,63.414,,,,,
13,A049,269,O10,1,CI,E,P,4,5,A010,23.73,0.609,1.667,0.072,0.5,11.485,6.22,,,,,
,,,O100,1,SK,B,P,3,5,A063,27.13,0.531,1.548,0.0593,NA,NA,NA,,,,,
,,,O101,1,SK,E,P,4,1,A064,35.88,0.981,2.742,0.0979,1.2,104.156,0.086796667,-22.21,35.46,8.98,9.16,3.873
,,,O102,1,SK,E,P,4,2,A065,27.28,0.494,1.455,0.0541,NA,NA,NA,,,,,
,,,O103,1,SK,E,P,4,3,A066,35.21,0.566,1.605,0.0516,1,33.754,1.935,,,,,
,,,O106,1,SK,E,P,6,1,A070,30.97,0.511,1.495,0.0687,NA,NA,NA,,,,,
,,,O113,1,SK,B,P,1,3,A077,30.57,0.760,2.355,0.1118,NA,NA,NA,,,,,
,,,O118,1,SK,B,P,5,3,A082,29.07,0.858,2.4088,0.1046,1.3,158.968,124.073,,,,,
30,A138,528,O12,1,CI,B,P,2,2,A012,34.72,0.784,2.071,0.0864,0.8,66.574,2.17,,,,,
,,,O121,1,WB,B,P,4,1,A114,33.3,0.9319,2.5844,0.1511,0.8,85.047,1.964,,,,,
,,,O122,1,WB,B,P,4,2,A115,36.57,0.7287,1.801,0.095,0.9,39.784,38.914,,,,,
,,,O124,1,WB,B,P,4,4,A117,32.14,0.9657,2.3359,0.1246,0.6,66.484,2.37,,,,,
,,,O128,1,WB,B,P,2,3,A121,34.19,1.0508,2.9071,0.1698,NA,NA,NA,,,,,
,,,O131,1,WB,E,P,6,1,A124,35.29,0.7172,2.1492,0.0995,0.8,15.263,0.01907875,-21.04,37.28,9.39,9.25,4.032
,,,O137,1,WB,B,P,3,3,A130,31.36,0.774,2.2065,0.1082,NA,NA,NA,,,,,
27,A124,519,O14,1,CI,B,P,2,4,A014,27.7,0.376,1.277,0.0524,1,54.244,23.31,,,,,
,,,O140,1,WB,E,P,5,1,A133,40.8,1.1386,3.1603,0.1383,0.8,79.139,1.777,,,,,
,,,O145,1,WB,E,P,1,1,A138,33.33,0.9573,2.5626,0.1189,,,,-21.16,39.57,9.69,8.77,4.513
,,,O147,1,WB,E,P,1,3,A140,27.01,0.6231,1.8668,0.1053,0.7,83.314,83.314,,,,,
15,A059,474,O17,1,CI,B,P,5,2,A017,33.34,0.688,1.970,0.1141,0.8,80.514,2.05,,,,,
,,,O21,1,CI,B,P,3,1,A021,38.47,0.990,2.756,0.1418,,,,-21.31,38.72,9.57,7.78,4.978
