Date,Time,CIBctS,CIBctT,CIEctS,CIEctT,FBBctS,FBBctT,FBEctS,FBBctT,PGEctS,PGEctT,SKEctS,SKEctT,SKBctS,SKBctT,WBBctS,WBBctT,WBEctS,WBEctT
       01/06/2016 ,0:10:00,31,13.6,6,13.9,38.5,14.5,38.1,15.2,33.4,13.6,,,,,28.9,16.1,33.1,16.2
       01/06/2016 ,0:20:00,31,13.5,5.7,13.8,38.5,14.5,38.6,14.8,33.4,13.6,,,,,30.2,16.1,33.1,16.2
       01/06/2016 ,0:30:00,31.1,13.5,5.5,13.7,38.5,14.5,38.7,14.7,33.6,13.5,,,,,30.4,16,33.1,16.2
       01/06/2016 ,0:40:00,30.6,13.5,5.2,13.7,38.5,14.5,39.1,14.5,34,13.4,,,,,30.2,16,33.2,16.1
       01/06/2016 ,0:50:00,32,13.5,5.4,13.6,38.3,14.6,38.9,14.5,33.8,13.3,,,,,29.6,16,33.2,16.1
       01/06/2016 ,1:00:00,31.8,13.6,6,13.6,38.4,14.5,39,14.5,34.2,13.3,,,,,29.1,16,33.2,16.1
       01/06/2016 ,1:10:00,32,13.6,5.2,13.6,38.5,14.5,39,14.5,34.2,13.3,,,,,29.5,16,33.1,16.2
       01/06/2016 ,1:20:00,31.8,13.6,5.7,13.6,38.5,14.5,39.1,14.5,34.2,13.3,,,,,29.2,16.1,33.1,16.2
       01/06/2016 ,1:30:00,31.7,13.6,6.1,13.6,38.4,14.5,39,14.5,33,13.3,,,,,29.3,16.1,32.8,16.3
       01/06/2016 ,1:40:00,31.4,13.5,5.6,13.6,38.5,14.5,39,14.5,33.1,13.3,,,,,29,16.2,32.6,16.4
       01/06/2016 ,1:50:00,32,13.4,5.9,13.6,38.3,14.6,39,14.5,34.2,13.3,,,,,29.3,16.2,32.7,16.4
       01/06/2016 ,2:00:00,31.9,13.3,5.8,13.6,38.3,14.6,38.9,14.5,34.3,13.2,,,,,29,16.3,32.6,16.4
       01/06/2016 ,2:10:00,31.7,13.3,6,13.5,38.2,14.6,38.9,14.5,34.1,13.3,,,,,29.6,16.4,32.6,16.4
       01/06/2016 ,2:20:00,31.7,13.2,6,13.4,38,14.6,38.8,14.5,34.3,13.2,,,,,29.1,16.4,32.5,16.4
       01/06/2016 ,2:30:00,31.7,13.2,6.2,13.4,38.2,14.6,38.7,14.5,34.2,13.2,,,,,29,16.4,32.6,16.4
       01/06/2016 ,2:40:00,31.9,13.1,6.8,13.3,38.2,14.6,38.9,14.5,34.3,13.2,,,,,29.1,16.4,32.5,16.4
       01/06/2016 ,2:50:00,31.6,13.1,6.7,13.2,38.3,14.6,38.9,14.5,34.3,13.2,,,,,29.9,16.4,32.3,16.5
       01/06/2016 ,3:00:00,31.2,13,6.9,13.2,38.3,14.6,38.8,14.5,34,13.2,,,,,29.4,16.2,32.2,16.5
       01/06/2016 ,3:10:00,33.2,13,6.5,13.1,38.3,14.6,38.5,14.6,34.2,13.2,,,,,29.8,15.9,32.2,16.5
       01/06/2016 ,3:20:00,32.6,12.9,6.8,13.1,38.5,14.5,38.9,14.5,34.3,13.2,,,,,30.5,15.7,32.3,16.5
       01/06/2016 ,3:30:00,32.3,12.9,6.8,13.1,38.3,14.4,38.7,14.6,34.2,13.3,,,,,30.9,15.4,32.4,16.4
       01/06/2016 ,3:40:00,33.3,12.9,6.4,13.1,38.8,14.3,38.6,14.6,34.1,13.3,,,,,31.6,15.3,32.4,16.4
       01/06/2016 ,3:50:00,33.1,13,6.8,13.1,38.3,14.9,38.6,15,34.2,13.3,,,,,30.9,15.2,32.4,16.3
       01/06/2016 ,4:00:00,33.2,13,6.4,13.1,37.4,15.5,38.1,15.4,34.1,13.3,,,,,29.8,15,32.4,16.2
