Date,Tank,TotalAlkalinity,pH,Salinity,Temperature
2/20/17,1,2367.78791,7.327479372,28.3,10.2
2/20/17,2,2319.3936,7.329076769,28.1,10.22
2/20/17,3,2309.88602,7.325248324,28,10.25
2/20/17,4,2287.72108,7.825963521,28.1,10.65
2/20/17,5,2336.14773,7.820147054,28.1,10.86
2/20/17,6,2298.36327,7.817941716,28.2,10.9
3/20/17,1,2930.29308,7.304159027,28.1,10.68
3/20/17,2,2925.95472,7.306238319,28.2,11.74
3/20/17,3,2896.55123,7.29858374,28.2,11.11
3/20/17,4,2769.72514,7.816161448,28.2,11.4
3/20/17,5,2743.33934,7.806916418,28.3,11.46
3/20/17,6,2727.94064,7.815694026,28.2,11.2
4/4/17,1,2801.77913,7.290757252,26.5,10.96
4/4/17,2,2822.51611,7.282132205,26.4,10.92
4/4/17,3,2800.87387,7.288186427,26.5,11.09
4/4/17,4,2584.60933,7.828503875,26.5,11.81
4/4/17,5,2645.37017,7.804219841,26.5,11.75
4/4/17,6,2604.22677,7.832363175,26.5,11.99
