Protein Name	bare	bare	bare	bare	bare	eel	eel	eel	eel	eel
ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)	135848.2857	5214020.5	320156	1375048.889	232384.7143	267251.5556	520005.75	1782210.364	1596007.75	748949.4167
"Apoptosis-inducing factor 1, mitochondrial (EC 1.1.1.-) (Programmed cell death protein 8)"	973976.6	84310	1359083.667	479589.75	315224.8	3251126.5	300368	479530.6	1802073.6	1379353.222
"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin reductase)"	23982944.17	13890076.81	4635772	2601289.75	17147594.83	1161584.636	5768779.182	967580.7	5408679.8	31874359.25
Metabotropic glutamate receptor 7 (mGluR7)	93479	30483	43294	74151	132143	217504	35097	1817412.333	20942003.5	1019406.5
Catalase (EC 1.11.1.6)	217389.2857	189117.2222	414395.2	616062.8462	733193.4286	391679.2727	255387.3	239523.8333	424081.4	375916.75
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	483273.625	372271.3333	7342004.5	286184.5	542089.5	246745.6667	4659260.889	1075265.714	1637214.4	3352081.083
"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"	680976.5	340475.7143	285811.25	195196.1111	87705.2	422222.4286	100637.6	1724223.714	462403.7143	208907.375
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	636340	340809.8333	7943169.909	362777.6667	568209	237382.25	5959749.143	1408708.4	1734680.25	4352681.556
Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27)	150372	1061472	56760	1460974	15160	131588.5	1822599	21110	39365	431946
Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	1144157	3013439.8	549546.5385	607411.3077	1562046.636	428645.9091	6152029.4	527677.4545	567266.2857	1130303.455
Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	1432424.833	243861	732079	327384.2	105283.3333	515224	2014174	669985	1655806.667	180484
Peroxidasin (EC 1.11.1.7)	550553.4	25633	NA	616589.5	41867	860098	102608	122130.5	322093	1078181.333
Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	2872580.188	112740.7857	4411670.667	1201676.667	1124563.429	1094158.353	3284951.133	2351002.5	872038.6667	267942.5882
Heat shock protein 83 (HSP 82)	7325354.96	10949054.77	9864588.92	5515392.909	5017594.406	7180385.591	13770965.14	6327870.893	59548259.7	3882865.063
Heat shock protein HSP 90-alpha 1	6336167.448	9992789.118	8415240.6	5084407.194	4785630.914	5979604.593	12388561.62	5766617.969	53132814.89	3463185.139
Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	349834.6667	186919	5250015.75	857059	43037	349373.6667	765713.5	458386	121379.3333	39706.5
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	3670563.4	468776.25	492295.75	89802.83333	365171.2222	320819.5	281210	369576.8571	1610264.2	335148
Peroxiredoxin (EC 1.11.1.15) (AsPrx) (Thioredoxin peroxidase)	512133.2857	399627.7778	254216.5714	592246.3333	459379.875	69883.16667	284040.1429	196095.6	1176951.833	368687
Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	5954836.833	449406	266357.1667	375873	197061.8334	206763.75	2988434.8	1828123.5	183205.75	485289.75
Histone deacetylase 4 (HD4) (EC 3.5.1.98)	1761534	1532941	3260356.75	682510	30869	NA	20216773.75	903436	3183750	95814
Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zip-code binding polypeptide) (Zipcode-binding protein 1) (ZBP-1)	365245.2	211759.5455	573434.7059	582694.7857	1516110.75	917042.8333	1333250.333	482998.8462	1581996.059	366701.4286
Universal stress protein YxiE (USP YxiE)	15768	10356709	51504	92034	2104413.667	45672	14985274	31533	57969	138696
Universal stress protein Sll1388 (USP Sll1388)	16813	149382	482708	31923	80985	808288	16392	2398202	1484143	203691
Putative universal stress protein SAOUHSC_01819	NA	68444	120155	211663	63945	3433784.5	22435	99430	13806	863883
Universal stress protein MSMEG_3950/MSMEI_3859 (USP MSMEG_3950)	20097	103615	324919	NA	27665	NA	12744413	23790	20127.5	24708
Universal stress protein in QAH/OAS sulfhydrylase 3'region (USP)	126517.5	1692581	562901.6667	444647.3333	27671.66667	19255766.75	118501.3333	1829603.333	367406	24992483.78
Putative universal stress protein SAOUHSC_01819	NA	68444	120155	211663	63945	3433784.5	22435	99430	13806	863883
