,chr,pos,stat,pvals,fdrs
63842,NC_047559.1,3022288,-5.62279846491656,1.87888554505451e-08,0.00504591885264371
134913,NC_047559.1,6445629,-5.55276029998031,2.81193541697305e-08,0.00690901087413355
930495,NC_047559.1,46813912,5.94742333449234,2.72396276384273e-09,0.00107706109095063
934243,NC_047559.1,47000336,5.5205962241617,3.37851319150411e-08,0.00780304312231135
1203369,NC_047560.1,4561492,-6.93054862973489,4.19211626250606e-12,6.91581983720275e-06
1943030,NC_047560.1,40407111,6.22174928918778,4.91642216774963e-10,0.000266709173572897
2254973,NC_047560.1,55499797,-5.52568304922568,3.28206178177676e-08,0.00773497767032952
2341350,NC_047560.1,59701557,6.07121102547996,1.26949236268683e-09,0.000610839683019964
3108271,NC_047561.1,25296188,-5.72780506437601,1.01738375590898e-08,0.00309178720019431
4145916,NC_047562.1,19799003,-5.76100588803775,8.36141227942432e-09,0.00275904281937549
4819583,NC_047563.1,1288380,6.01703600070772,1.77639586386377e-09,0.000763702410043436
4920381,NC_047563.1,6395389,-6.72295604347961,1.78074317753545e-11,1.71367489884467e-05
4974992,NC_047563.1,9081152,6.34228675383174,2.26379442147473e-10,0.000145235529568613
5195138,NC_047563.1,20372689,5.50666977942433,3.65685282050737e-08,0.00812105646459431
5366990,NC_047563.1,28822878,-5.76099094473513,8.36215267627095e-09,0.00275904281937549
7182020,NC_047564.1,48296668,-6.18439395248262,6.23415049012271e-10,0.000313009730123514
8035168,NC_047565.1,32545006,-5.85506591069305,4.76820876538104e-09,0.00177624128566443
8089822,NC_047565.1,35447905,-5.94302863301341,2.79803536655682e-09,0.00107706109095063
8147574,NC_047565.1,38388780,-5.64697063931116,1.63299705862802e-08,0.00449081973201408
8201813,NC_047565.1,41071596,-5.48061923991823,4.23839750423686e-08,0.00923494276038111
8921489,NC_047566.1,15683888,-5.74406906587971,9.24280596254202e-09,0.00296489779711366
8921511,NC_047566.1,15685674,-5.66676867913991,1.45515579392768e-08,0.00420105041999401
9342584,NC_047566.1,36571923,5.59759250518029,2.17348885524773e-08,0.00570444153645944
9842625,NC_047567.1,3077162,5.68065004846065,1.34183774742733e-08,0.00397323077084974
10077848,NC_047567.1,14572633,5.5873128609953,2.3061004916817e-08,0.00591798836450254
10263523,NC_047567.1,23555225,-5.64693851530344,1.63330209927857e-08,0.00449081973201408
10426533,NC_047567.1,31559025,6.21658118047086,5.08103565132529e-10,0.000266709173572897
10426534,NC_047567.1,31559038,6.41245219790252,1.4319733380891e-10,9.72734687241558e-05
10426535,NC_047567.1,31559058,6.262629397376,3.78539528009814e-10,0.000218569537332852
10426536,NC_047567.1,31559112,7.35539852686342,1.90358318487035e-13,4.39653209459196e-07
10426537,NC_047567.1,31559118,6.75019323498733,1.47648379865927e-11,1.55004530870187e-05
10426538,NC_047567.1,31559130,6.90314867297738,5.08623483423428e-12,7.34200732172941e-06
10426539,NC_047567.1,31559138,6.59823596220973,4.16078681730445e-11,3.69607269846653e-05
10426540,NC_047567.1,31559163,5.78416479695652,7.2873476400074e-09,0.00262983137196106
10426550,NC_047567.1,31559470,5.5759566720094,2.46173198132504e-08,0.00618004060322104
10426560,NC_047567.1,31559957,5.97493538591131,2.30181396650456e-09,0.000949337380828402
10426561,NC_047567.1,31559965,6.50117824867392,7.96933343180561e-11,6.13534701012191e-05
10426562,NC_047567.1,31559989,6.76877961061216,1.29873197688134e-11,1.49978127145007e-05
10426563,NC_047567.1,31559998,6.26607153637489,3.70270284276927e-10,0.000218569537332852
10426564,NC_047567.1,31560004,6.80532838784042,1.00818996117108e-11,1.29362455819688e-05
10426565,NC_047567.1,31560011,6.05152117416686,1.43484420602313e-09,0.000662785703578238
10426566,NC_047567.1,31560029,6.47541757055824,9.45500933109017e-11,6.82417839505191e-05
10426568,NC_047567.1,31560063,7.03438775098868,2.00137844086743e-12,3.85200071573501e-06
10426569,NC_047567.1,31560080,8.40326605500269,4.34229384258068e-17,2.26094614792169e-10
10426570,NC_047567.1,31560083,6.53235305601999,6.47443089840337e-11,5.34050045823506e-05
10426571,NC_047567.1,31560110,8.91905316767312,4.70291565807625e-19,5.43094722448379e-12
10426572,NC_047567.1,31560120,8.36773595649473,5.87358260076194e-17,2.26094614792169e-10
10426573,NC_047567.1,31560150,8.21870103919793,2.05719156631838e-16,5.93913416677049e-10
10426574,NC_047567.1,31560189,6.0162007730115,1.78558090502198e-09,0.000763702410043436
10722480,NC_047568.1,9278212,-5.76433556123952,8.19801629874605e-09,0.00275904281937549
11523694,NC_047568.1,52333625,-5.53122215681228,3.18007262557683e-08,0.0076507532131842
11527257,NC_047568.1,52554330,-5.73299787874935,9.86708679907957e-09,0.00307960926055414
12190325,NW_022994855.1,20301,-5.50676681965282,3.6548384907211e-08,0.00812105646459431
